2021-08-04 08:45:05,580  INFO: 主引擎创建成功
2021-08-04 08:45:05,582  INFO: 注册日志事件监听
2021-08-04 08:45:05,582  INFO: 连接CTP接口
2021-08-04 08:45:05,681  INFO: 行情服务器连接成功
2021-08-04 08:45:05,715  INFO: 行情服务器登录成功
2021-08-04 08:45:05,789  INFO: 交易服务器连接成功
2021-08-04 08:45:06,046  INFO: 交易服务器授权验证成功
2021-08-04 08:45:06,106  INFO: 交易服务器登录成功
2021-08-04 08:45:06,208  INFO: 结算信息确认成功
2021-08-04 08:45:10,947  INFO: 合约信息查询成功
2021-08-04 08:45:16,353  INFO: RQData数据接口初始化成功
2021-08-04 08:45:16,923  INFO: CTA策略引擎初始化成功
2021-08-04 08:45:16,939  INFO: CTA引擎初始化完成
2021-08-04 08:45:16,950  INFO: papertest1开始执行初始化
2021-08-04 08:45:17,982  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-04 08:45:17,982  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:45:00
2021-08-04 08:45:17,982  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.134471772363481, trading_size:4
2021-08-04 08:45:17,983  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-04 08:45:17,984  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:47:00
2021-08-04 08:45:17,984  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.872545963280091, trading_size:4
2021-08-04 08:45:17,985  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-04 08:45:17,986  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:49:00
2021-08-04 08:45:17,988  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.132923609088289, trading_size:4
2021-08-04 08:45:17,989  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-04 08:45:17,991  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:51:00
2021-08-04 08:45:17,992  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.871488518254763, trading_size:4
2021-08-04 08:45:17,993  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-04 08:45:17,993  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:53:00
2021-08-04 08:45:17,994  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:10.798903868641913, trading_size:4
2021-08-04 08:45:17,995  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
